City_Data,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
214,broken hill,0,AU,1615763865,47,-31.95,141.4333,57.2,12.66
215,antofagasta,75,CL,1615763594,77,-23.65,-70.4,68.0,10.36
216,atambua,100,ID,1615763597,84,-9.1061,124.8925,75.65,0.34
217,touros,20,BR,1615763629,74,-5.1989,-35.4608,80.6,9.22
218,lang suan,20,TH,1615763867,94,9.9456,99.0785,75.2,2.3
219,chapais,90,CA,1615763511,60,49.7834,-74.8492,-0.4,14.97
220,comodoro rivadavia,0,AR,1615763521,72,-45.8667,-67.5,62.6,23.02
221,san cristobal,75,VE,1615763868,65,7.7669,-72.225,80.6,4.61
222,sur,11,OM,1615763869,52,22.5667,59.5289,74.95,4.76
223,brownsville,90,US,1615763869,68,25.9018,-97.4975,71.6,11.5
224,yulara,3,AU,1615763870,30,-25.2406,130.9889,66.2,16.11
225,yar-sale,86,RU,1615763558,90,66.8333,70.8333,4.5,4.63
226,muzhi,74,RU,1615763576,90,65.3667,64.6667,9.84,5.1
227,rypefjord,75,NO,1615763870,93,70.6333,23.6667,24.8,8.05
228,cangzhou,59,CN,1615763871,83,38.3167,116.8667,54.19,5.53
229,erzin,100,TR,1615763871,74,36.9559,36.2,59.0,3.4
230,poum,84,NC,1615763518,73,-20.2333,164.0167,79.43,5.91
231,the pas,1,CA,1615763872,64,53.8251,-101.2541,33.8,24.16
232,tevaitoa,85,PF,1615763603,73,-16.7833,-151.5,83.1,11.9
233,ganzhou,29,CN,1615763872,89,28.8184,115.4327,62.01,3.15
234,jining,100,CN,1615763873,1,35.405,116.5814,60.01,5.57
235,torbay,90,CA,1615763505,74,47.6666,-52.7314,28.99,4.61
236,tigzirt,3,DZ,1615763617,79,36.8886,4.1198,52.86,0.76
237,puerto del rosario,0,ES,1615763874,77,28.5004,-13.8627,62.6,5.75
238,jaciara,99,BR,1615763874,91,-15.9653,-54.9683,73.92,0.72
239,namatanai,67,PG,1615763588,66,-3.6667,152.4333,84.0,4.12
240,honningsvag,90,NO,1615763875,86,70.9821,25.9704,26.6,3.44
241,lashio,30,MM,1615763613,56,22.9333,97.75,58.3,1.48
242,moyo,65,UG,1615763876,50,3.6609,31.7247,73.6,1.61
243,ulladulla,0,AU,1615763645,55,-35.35,150.4667,60.01,5.75
244,khash,0,IR,1615763876,45,28.2211,61.2158,48.02,0.43
245,hamilton,90,US,1615763448,40,39.1834,-84.5333,55.0,5.75
246,lata,0,PT,1615763877,87,40.1629,-8.3327,54.0,3.13
247,bonthe,99,SL,1615763877,82,7.5264,-12.505,78.64,7.61
248,bathsheba,40,BB,1615763635,73,13.2167,-59.5167,78.8,10.36
249,porto seguro,0,BR,1615763878,69,-16.4497,-39.0647,78.8,10.36
250,ancud,0,CL,1615763540,72,-41.8697,-73.8203,62.01,5.75
251,ahipara,3,NZ,1615763344,63,-35.1667,173.1667,72.88,2.98
252,kozhva,100,RU,1615763879,94,65.1073,57.0459,19.38,10.47
253,egvekinot,97,RU,1615763356,94,66.3167,-179.1667,9.61,4.03
254,amherstburg,1,CA,1615763880,55,42.1168,-83.0499,35.6,9.22
255,belyy yar,100,RU,1615763880,85,53.6039,91.3903,3.2,0.72
256,kanigoro,76,ID,1615763635,92,-8.13,112.219,72.72,2.59
257,mokobeng,6,BW,1615763881,78,-22.9965,27.6678,67.35,8.55
258,mombetsu,41,JP,1615763881,76,44.3525,143.3525,33.01,8.99
259,aklavik,42,CA,1615763882,59,68.2191,-135.0107,-4.0,4.61
260,fort nelson,90,CA,1615763710,71,58.8053,-122.7002,1.4,6.91
261,yelan,72,RU,1615763882,87,50.949,43.7378,22.69,10.4
262,santo domingo,20,DO,1615763871,73,18.5001,-69.9886,78.8,9.22
263,petropavlovskoye,100,RU,1615763883,91,52.0712,84.107,4.69,4.99
264,logatec,100,SI,1615763884,92,45.9144,14.2258,35.01,3.02
265,meulaboh,76,ID,1615763588,86,4.1363,96.1285,75.99,4.85
266,pimenta bueno,57,BR,1615763884,91,-11.6725,-61.1936,76.28,1.79
267,palmer,20,US,1615763634,27,42.1584,-72.3287,30.99,24.16
268,linguere,14,SN,1615763885,9,15.3953,-15.1193,80.15,8.66
269,tallahassee,40,US,1615763782,41,30.4383,-84.2807,78.8,9.22
270,lukovetskiy,75,RU,1615763885,86,64.2956,41.9211,33.8,4.47
271,vieste,75,IT,1615763886,87,41.8825,16.175,46.4,13.8
272,fort saint james,100,CA,1615763886,62,54.4333,-124.25,33.53,13.0
273,zhezkazgan,95,KZ,1615763887,81,47.8043,67.7144,2.8,5.82
274,geraldton,1,AU,1615763714,29,-28.7667,114.6,75.2,21.85
275,yelizovo,1,RU,1615763888,55,53.1873,158.3805,30.2,4.47
276,srednekolymsk,0,RU,1615763888,84,67.45,153.6833,-12.64,5.95
277,chuy,0,UY,1615763365,78,-33.6971,-53.4616,64.53,6.42
